symbol,date,close
SPY,2020-02-03,324.12
AAPL,2020-02-04,79.71
GLD,2020-02-04,146.43
JPM,2020-02-04,135.29
MSFT,2020-02-04,180.12
SPY,2020-02-04,329.06
AAPL,2020-02-05,80.36
GLD,2020-02-05,146.61
JPM,2020-02-05,137.59
MSFT,2020-02-05,179.9
SPY,2020-02-05,332.86
AAPL,2020-02-06,81.3
GLD,2020-02-06,147.4
JPM,2020-02-06,137.61
MSFT,2020-02-06,183.63
SPY,2020-02-06,333.98
AAPL,2020-02-07,80.01
GLD,2020-02-07,147.79
JPM,2020-02-07,137.17
MSFT,2020-02-07,183.89
SPY,2020-02-07,332.2
AAPL,2020-02-10,80.39
GLD,2020-02-10,148.17
JPM,2020-02-10,137.74
MSFT,2020-02-10,188.7
SPY,2020-02-10,334.68
AAPL,2020-02-11,79.9
GLD,2020-02-11,147.66
JPM,2020-02-11,138.0
MSFT,2020-02-11,184.44
SPY,2020-02-11,335.26
AAPL,2020-02-12,81.8
GLD,2020-02-12,147.54
JPM,2020-02-12,138.0
MSFT,2020-02-12,184.71
SPY,2020-02-12,337.42
AAPL,2020-02-13,81.22
GLD,2020-02-13,148.38
JPM,2020-02-13,137.88
MSFT,2020-02-13,183.71
SPY,2020-02-13,337.06
AAPL,2020-02-14,81.24
GLD,2020-02-14,149.0
JPM,2020-02-14,137.46
MSFT,2020-02-14,185.35
SPY,2020-02-14,337.6
AAPL,2020-02-18,79.75
GLD,2020-02-18,150.91
JPM,2020-02-18,135.64
MSFT,2020-02-18,187.23
SPY,2020-02-18,336.73
AAPL,2020-02-19,80.9
GLD,2020-02-19,151.79
JPM,2020-02-19,137.49
MSFT,2020-02-19,187.28
SPY,2020-02-19,338.34
AAPL,2020-02-20,80.07
GLD,2020-02-20,152.41
JPM,2020-02-20,137.49
MSFT,2020-02-20,184.42
SPY,2020-02-20,336.95
AAPL,2020-02-21,78.26
GLD,2020-02-21,154.7
JPM,2020-02-21,135.81
MSFT,2020-02-21,178.59
SPY,2020-02-21,333.48
AAPL,2020-02-24,74.54
GLD,2020-02-24,156.09
JPM,2020-02-24,132.16
MSFT,2020-02-24,170.89
SPY,2020-02-24,322.42
AAPL,2020-02-25,72.02
GLD,2020-02-25,153.3
JPM,2020-02-25,126.26
MSFT,2020-02-25,168.07
SPY,2020-02-25,312.65
AAPL,2020-02-26,73.16
GLD,2020-02-26,153.97
JPM,2020-02-26,126.64
MSFT,2020-02-26,170.17
SPY,2020-02-26,311.5
AAPL,2020-02-27,68.38
GLD,2020-02-27,154.0
JPM,2020-02-27,121.37
MSFT,2020-02-27,158.18
SPY,2020-02-27,297.51
AAPL,2020-02-28,68.34
GLD,2020-02-28,148.38
JPM,2020-02-28,116.11
MSFT,2020-02-28,162.01
SPY,2020-02-28,296.26
AAPL,2020-03-02,74.7
GLD,2020-03-02,149.2
JPM,2020-03-02,121.52
MSFT,2020-03-02,172.79
SPY,2020-03-02,309.09
AAPL,2020-03-03,72.33
GLD,2020-03-03,153.89
JPM,2020-03-03,116.96
MSFT,2020-03-03,164.51
SPY,2020-03-03,300.24
AAPL,2020-03-04,75.68
GLD,2020-03-04,154.16
JPM,2020-03-04,119.85
MSFT,2020-03-04,170.55
SPY,2020-03-04,312.86
AAPL,2020-03-05,73.23
GLD,2020-03-05,157.49
JPM,2020-03-05,113.97
MSFT,2020-03-05,166.27
SPY,2020-03-05,302.46
AAPL,2020-03-06,72.26
GLD,2020-03-06,157.55
JPM,2020-03-06,108.08
MSFT,2020-03-06,161.57
SPY,2020-03-06,297.46
AAPL,2020-03-09,66.54
GLD,2020-03-09,157.81
JPM,2020-03-09,93.44
MSFT,2020-03-09,150.62
SPY,2020-03-09,274.23
AAPL,2020-03-10,71.33
GLD,2020-03-10,154.48
JPM,2020-03-10,100.7
MSFT,2020-03-10,160.92
SPY,2020-03-10,288.42
AAPL,2020-03-11,68.86
GLD,2020-03-11,153.93
JPM,2020-03-11,95.96
MSFT,2020-03-11,153.63
SPY,2020-03-11,274.36
AAPL,2020-03-12,62.06
GLD,2020-03-12,147.79
JPM,2020-03-12,88.05
MSFT,2020-03-12,139.06
SPY,2020-03-12,248.11
AAPL,2020-03-13,69.49
GLD,2020-03-13,143.28
JPM,2020-03-13,103.91
MSFT,2020-03-13,158.83
SPY,2020-03-13,269.32
AAPL,2020-03-16,60.55
GLD,2020-03-16,141.64
JPM,2020-03-16,88.36
MSFT,2020-03-16,135.42
SPY,2020-03-16,239.85
AAPL,2020-03-17,63.22
GLD,2020-03-17,143.56
JPM,2020-03-17,93.76
MSFT,2020-03-17,146.57
SPY,2020-03-17,252.8
AAPL,2020-03-18,61.67
GLD,2020-03-18,140.7
JPM,2020-03-18,83.89
MSFT,2020-03-18,140.4
SPY,2020-03-18,240.0
AAPL,2020-03-19,61.19
GLD,2020-03-19,138.04
JPM,2020-03-19,85.3
MSFT,2020-03-19,142.71
SPY,2020-03-19,240.51
AAPL,2020-03-20,57.31
GLD,2020-03-20,140.11
JPM,2020-03-20,83.5
MSFT,2020-03-20,137.35
SPY,2020-03-20,228.8
AAPL,2020-03-23,56.09
GLD,2020-03-23,146.3
JPM,2020-03-23,79.03
MSFT,2020-03-23,135.98
SPY,2020-03-23,222.95
AAPL,2020-03-24,61.72
GLD,2020-03-24,153.4
JPM,2020-03-24,88.43
MSFT,2020-03-24,148.34
SPY,2020-03-24,243.15
AAPL,2020-03-25,61.38
GLD,2020-03-25,151.3
JPM,2020-03-25,91.73
MSFT,2020-03-25,146.92
SPY,2020-03-25,246.79
AAPL,2020-03-26,64.61
GLD,2020-03-26,153.24
JPM,2020-03-26,98.12
MSFT,2020-03-26,156.11
SPY,2020-03-26,261.2
AAPL,2020-03-27,61.94
GLD,2020-03-27,152.25
JPM,2020-03-27,91.13
MSFT,2020-03-27,149.7
SPY,2020-03-27,253.42
AAPL,2020-03-30,63.7
GLD,2020-03-30,152.92
JPM,2020-03-30,93.5
MSFT,2020-03-30,160.23
SPY,2020-03-30,261.65
AAPL,2020-03-31,63.57
GLD,2020-03-31,148.05
JPM,2020-03-31,90.03
MSFT,2020-03-31,157.71
SPY,2020-03-31,257.75
AAPL,2020-04-01,60.23
GLD,2020-04-01,149.45
JPM,2020-04-01,84.36
MSFT,2020-04-01,152.11
SPY,2020-04-01,246.15
AAPL,2020-04-02,61.23
GLD,2020-04-02,151.9
JPM,2020-04-02,87.51
MSFT,2020-04-02,155.26
SPY,2020-04-02,251.83
AAPL,2020-04-03,60.35
GLD,2020-04-03,152.65
JPM,2020-04-03,84.05
MSFT,2020-04-03,153.83
SPY,2020-04-03,248.19
AAPL,2020-04-06,65.62
GLD,2020-04-06,156.88
JPM,2020-04-06,89.46
MSFT,2020-04-06,165.27
SPY,2020-04-06,264.86
AAPL,2020-04-07,64.86
GLD,2020-04-07,156.04
JPM,2020-04-07,90.64
MSFT,2020-04-07,163.49
SPY,2020-04-07,265.13
AAPL,2020-04-08,66.52
GLD,2020-04-08,154.65
JPM,2020-04-08,94.3
MSFT,2020-04-08,165.13
SPY,2020-04-08,274.03
AAPL,2020-04-09,67.0
GLD,2020-04-09,158.69
JPM,2020-04-09,102.76
MSFT,2020-04-09,165.14
SPY,2020-04-09,278.2
AAPL,2020-04-13,68.31
GLD,2020-04-13,161.41
JPM,2020-04-13,98.19
MSFT,2020-04-13,165.51
SPY,2020-04-13,275.66
AAPL,2020-04-14,71.76
GLD,2020-04-14,162.68
JPM,2020-04-14,95.5
MSFT,2020-04-14,173.7
SPY,2020-04-14,283.79
AAPL,2020-04-15,71.11
GLD,2020-04-15,161.85
JPM,2020-04-15,90.79
MSFT,2020-04-15,171.88
SPY,2020-04-15,277.76
AAPL,2020-04-16,71.67
GLD,2020-04-16,161.71
JPM,2020-04-16,87.33
MSFT,2020-04-16,177.04
SPY,2020-04-16,279.1
AAPL,2020-04-17,70.7
GLD,2020-04-17,158.57
JPM,2020-04-17,95.18
MSFT,2020-04-17,178.6
SPY,2020-04-17,286.64
AAPL,2020-04-20,69.23
GLD,2020-04-20,159.7
JPM,2020-04-20,91.71
MSFT,2020-04-20,175.06
SPY,2020-04-20,281.59
AAPL,2020-04-21,67.09
GLD,2020-04-21,158.61
JPM,2020-04-21,89.05
MSFT,2020-04-21,167.82
SPY,2020-04-21,273.04
AAPL,2020-04-22,69.03
GLD,2020-04-22,161.73
JPM,2020-04-22,89.34
MSFT,2020-04-22,173.52
SPY,2020-04-22,279.1
AAPL,2020-04-23,68.76
GLD,2020-04-23,163.34
JPM,2020-04-23,89.39
MSFT,2020-04-23,171.42
SPY,2020-04-23,279.08
AAPL,2020-04-24,70.74
GLD,2020-04-24,162.64
JPM,2020-04-24,90.71
MSFT,2020-04-24,174.55
SPY,2020-04-24,282.97
AAPL,2020-04-27,70.79
GLD,2020-04-27,161.56
JPM,2020-04-27,94.62
MSFT,2020-04-27,174.05
SPY,2020-04-27,287.05
AAPL,2020-04-28,69.64
GLD,2020-04-28,160.84
JPM,2020-04-28,95.29
MSFT,2020-04-28,169.81
SPY,2020-04-28,285.73
AAPL,2020-04-29,71.93
GLD,2020-04-29,161.73
JPM,2020-04-29,97.86
MSFT,2020-04-29,177.43
SPY,2020-04-29,293.21
AAPL,2020-04-30,73.45
GLD,2020-04-30,158.8
JPM,2020-04-30,95.76
MSFT,2020-04-30,179.21
SPY,2020-04-30,290.48
AAPL,2020-05-01,72.27
GLD,2020-05-01,159.78
JPM,2020-05-01,93.25
MSFT,2020-05-01,174.57
SPY,2020-05-01,282.79
AAPL,2020-05-04,73.29
GLD,2020-05-04,160.34
JPM,2020-05-04,92.14
MSFT,2020-05-04,178.84
SPY,2020-05-04,283.57
AAPL,2020-05-05,74.39
GLD,2020-05-05,161.02
JPM,2020-05-05,92.0
MSFT,2020-05-05,180.76
SPY,2020-05-05,286.19
AAPL,2020-05-06,75.16
GLD,2020-05-06,158.95
JPM,2020-05-06,90.27
MSFT,2020-05-06,182.54
SPY,2020-05-06,284.25
AAPL,2020-05-07,75.93
GLD,2020-05-07,161.39
JPM,2020-05-07,91.21
MSFT,2020-05-07,183.6
SPY,2020-05-07,287.68
AAPL,2020-05-08,77.53
GLD,2020-05-08,160.42
JPM,2020-05-08,92.7
MSFT,2020-05-08,184.68
SPY,2020-05-08,292.44
AAPL,2020-05-11,78.75
GLD,2020-05-11,159.42
JPM,2020-05-11,89.97
MSFT,2020-05-11,186.74
SPY,2020-05-11,292.5
AAPL,2020-05-12,77.85
GLD,2020-05-12,160.04
JPM,2020-05-12,87.03
MSFT,2020-05-12,182.51
SPY,2020-05-12,286.67
AAPL,2020-05-13,76.91
GLD,2020-05-13,161.58
JPM,2020-05-13,84.03
MSFT,2020-05-13,179.75
SPY,2020-05-13,281.6
AAPL,2020-05-14,77.39
GLD,2020-05-14,163.01
JPM,2020-05-14,87.52
MSFT,2020-05-14,180.53
SPY,2020-05-14,284.97
AAPL,2020-05-15,76.93
GLD,2020-05-15,163.93
JPM,2020-05-15,85.9
MSFT,2020-05-15,183.16
SPY,2020-05-15,286.28
AAPL,2020-05-18,78.74
GLD,2020-05-18,162.69
JPM,2020-05-18,90.45
MSFT,2020-05-18,184.91
SPY,2020-05-18,295.0
AAPL,2020-05-19,78.29
GLD,2020-05-19,164.26
JPM,2020-05-19,88.67
MSFT,2020-05-19,183.63
SPY,2020-05-19,291.97
AAPL,2020-05-20,79.81
GLD,2020-05-20,164.65
JPM,2020-05-20,91.33
MSFT,2020-05-20,185.66
SPY,2020-05-20,296.93
AAPL,2020-05-21,79.21
GLD,2020-05-21,162.25
JPM,2020-05-21,90.17
MSFT,2020-05-21,183.43
SPY,2020-05-21,294.88
AAPL,2020-05-22,79.72
GLD,2020-05-22,163.21
JPM,2020-05-22,89.47
MSFT,2020-05-22,183.51
SPY,2020-05-22,295.44
AAPL,2020-05-26,79.18
GLD,2020-05-26,160.89
JPM,2020-05-26,95.82
MSFT,2020-05-26,181.57
SPY,2020-05-26,299.08
AAPL,2020-05-27,79.53
GLD,2020-05-27,161.18
JPM,2020-05-27,101.37
MSFT,2020-05-27,181.81
SPY,2020-05-27,303.53
AAPL,2020-05-28,79.56
GLD,2020-05-28,161.72
JPM,2020-05-28,99.86
MSFT,2020-05-28,181.4
SPY,2020-05-28,302.97
AAPL,2020-05-29,79.49
GLD,2020-05-29,162.91
JPM,2020-05-29,97.31
MSFT,2020-05-29,183.25
SPY,2020-05-29,304.32
AAPL,2020-06-01,80.46
GLD,2020-06-01,163.66
JPM,2020-06-01,98.6
MSFT,2020-06-01,182.83
SPY,2020-06-01,305.55
AAPL,2020-06-02,80.83
GLD,2020-06-02,162.6
JPM,2020-06-02,98.93
MSFT,2020-06-02,184.91
SPY,2020-06-02,308.08
AAPL,2020-06-03,81.28
GLD,2020-06-03,159.6
JPM,2020-06-03,104.27
MSFT,2020-06-03,185.36
SPY,2020-06-03,312.18
AAPL,2020-06-04,80.58
GLD,2020-06-04,161.28
JPM,2020-06-04,106.44
MSFT,2020-06-04,182.92
SPY,2020-06-04,311.36
AAPL,2020-06-05,82.88
GLD,2020-06-05,158.01
JPM,2020-06-05,111.23
MSFT,2020-06-05,187.2
SPY,2020-06-05,319.34
AAPL,2020-06-08,83.36
GLD,2020-06-08,159.72
JPM,2020-06-08,113.45
MSFT,2020-06-08,188.36
SPY,2020-06-08,323.2
AAPL,2020-06-09,86.0
GLD,2020-06-09,161.26
JPM,2020-06-09,110.54
MSFT,2020-06-09,189.8
SPY,2020-06-09,320.79
AAPL,2020-06-10,88.21
GLD,2020-06-10,163.57
JPM,2020-06-10,106.06
MSFT,2020-06-10,196.84
SPY,2020-06-10,319.0
AAPL,2020-06-11,83.97
GLD,2020-06-11,162.39
JPM,2020-06-11,97.21
MSFT,2020-06-11,186.27
SPY,2020-06-11,300.61
AAPL,2020-06-12,84.7
GLD,2020-06-12,162.62
JPM,2020-06-12,99.87
MSFT,2020-06-12,187.74
SPY,2020-06-12,304.21
AAPL,2020-06-15,85.75
GLD,2020-06-15,162.33
JPM,2020-06-15,101.25
MSFT,2020-06-15,188.94
SPY,2020-06-15,307.05
AAPL,2020-06-16,88.02
GLD,2020-06-16,162.25
JPM,2020-06-16,102.06
MSFT,2020-06-16,193.57
SPY,2020-06-16,312.96
AAPL,2020-06-17,87.9
GLD,2020-06-17,162.56
JPM,2020-06-17,99.48
MSFT,2020-06-17,194.24
SPY,2020-06-17,311.66
AAPL,2020-06-18,87.93
GLD,2020-06-18,162.24
JPM,2020-06-18,98.94
MSFT,2020-06-18,196.32
SPY,2020-06-18,311.78
AAPL,2020-06-19,87.43
GLD,2020-06-19,164.03
JPM,2020-06-19,97.81
MSFT,2020-06-19,195.15
SPY,2020-06-19,308.64
AAPL,2020-06-22,89.72
GLD,2020-06-22,165.09
JPM,2020-06-22,96.75
MSFT,2020-06-22,200.57
SPY,2020-06-22,310.62
AAPL,2020-06-23,91.63
GLD,2020-06-23,166.48
JPM,2020-06-23,97.93
MSFT,2020-06-23,201.91
SPY,2020-06-23,312.05
AAPL,2020-06-24,90.01
GLD,2020-06-24,165.9
JPM,2020-06-24,94.66
MSFT,2020-06-24,197.84
SPY,2020-06-24,304.09
AAPL,2020-06-25,91.21
GLD,2020-06-25,165.8
JPM,2020-06-25,97.96
MSFT,2020-06-25,200.34
SPY,2020-06-25,307.35
AAPL,2020-06-26,88.41
GLD,2020-06-26,166.54
JPM,2020-06-26,92.59
MSFT,2020-06-26,196.33
SPY,2020-06-26,300.05
AAPL,2020-06-29,90.44
GLD,2020-06-29,166.63
JPM,2020-06-29,93.0
MSFT,2020-06-29,198.44
SPY,2020-06-29,304.46
AAPL,2020-06-30,91.2
GLD,2020-06-30,167.37
JPM,2020-06-30,94.06
MSFT,2020-06-30,203.51
SPY,2020-06-30,308.36
AAPL,2020-07-01,91.03
GLD,2020-07-01,166.62
JPM,2020-07-01,93.26
MSFT,2020-07-01,204.7
SPY,2020-07-01,310.52
AAPL,2020-07-02,91.03
GLD,2020-07-02,166.98
JPM,2020-07-02,92.66
MSFT,2020-07-02,206.26
SPY,2020-07-02,312.23
AAPL,2020-07-06,93.46
GLD,2020-07-06,167.98
JPM,2020-07-06,95.0
MSFT,2020-07-06,210.7
SPY,2020-07-06,317.05
AAPL,2020-07-07,93.17
GLD,2020-07-07,169.04
JPM,2020-07-07,92.32
MSFT,2020-07-07,208.25
SPY,2020-07-07,313.78
AAPL,2020-07-08,95.34
GLD,2020-07-08,170.09
JPM,2020-07-08,93.3
MSFT,2020-07-08,212.83
SPY,2020-07-08,316.18
AAPL,2020-07-09,95.75
GLD,2020-07-09,169.63
JPM,2020-07-09,91.28
MSFT,2020-07-09,214.32
SPY,2020-07-09,314.38
AAPL,2020-07-10,95.92
GLD,2020-07-10,169.19
JPM,2020-07-10,96.27
MSFT,2020-07-10,213.67
SPY,2020-07-10,317.59
AAPL,2020-07-13,95.48
GLD,2020-07-13,169.4
JPM,2020-07-13,97.65
MSFT,2020-07-13,207.07
SPY,2020-07-13,314.84
AAPL,2020-07-14,97.06
GLD,2020-07-14,170.19
JPM,2020-07-14,98.21
MSFT,2020-07-14,208.35
SPY,2020-07-14,318.92
AAPL,2020-07-15,97.72
GLD,2020-07-15,170.34
JPM,2020-07-15,99.73
MSFT,2020-07-15,208.04
SPY,2020-07-15,321.85
AAPL,2020-07-16,96.52
GLD,2020-07-16,168.73
JPM,2020-07-16,100.01
MSFT,2020-07-16,203.92
SPY,2020-07-16,320.79
AAPL,2020-07-17,96.33
GLD,2020-07-17,170.12
JPM,2020-07-17,98.16
MSFT,2020-07-17,202.88
SPY,2020-07-17,321.72
AAPL,2020-07-20,98.36
GLD,2020-07-20,170.94
JPM,2020-07-20,97.3
MSFT,2020-07-20,211.6
SPY,2020-07-20,324.32
AAPL,2020-07-21,97.0
GLD,2020-07-21,173.0
JPM,2020-07-21,99.41
MSFT,2020-07-21,208.75
SPY,2020-07-21,325.01
AAPL,2020-07-22,97.27
GLD,2020-07-22,175.63
JPM,2020-07-22,98.69
MSFT,2020-07-22,211.75
SPY,2020-07-22,326.86
AAPL,2020-07-23,92.85
GLD,2020-07-23,177.18
JPM,2020-07-23,98.98
MSFT,2020-07-23,202.54
SPY,2020-07-23,322.96
AAPL,2020-07-24,92.61
GLD,2020-07-24,178.7
JPM,2020-07-24,98.28
MSFT,2020-07-24,201.3
SPY,2020-07-24,320.88
AAPL,2020-07-27,94.81
GLD,2020-07-27,182.23
JPM,2020-07-27,96.9
MSFT,2020-07-27,203.85
SPY,2020-07-27,323.22
AAPL,2020-07-28,93.25
GLD,2020-07-28,183.75
JPM,2020-07-28,97.32
MSFT,2020-07-28,202.02
SPY,2020-07-28,321.17
AAPL,2020-07-29,95.04
GLD,2020-07-29,185.13
JPM,2020-07-29,99.68
MSFT,2020-07-29,204.06
SPY,2020-07-29,325.12
AAPL,2020-07-30,96.19
GLD,2020-07-30,183.76
JPM,2020-07-30,97.02
MSFT,2020-07-30,203.9
SPY,2020-07-30,323.96
AAPL,2020-07-31,106.26
GLD,2020-07-31,185.43
JPM,2020-07-31,96.64
MSFT,2020-07-31,205.01
SPY,2020-07-31,326.52
AAPL,2020-08-03,108.94
GLD,2020-08-03,185.64
JPM,2020-08-03,96.1
MSFT,2020-08-03,216.54
SPY,2020-08-03,328.79
AAPL,2020-08-04,109.67
GLD,2020-08-04,189.59
JPM,2020-08-04,95.55
MSFT,2020-08-04,213.29
SPY,2020-08-04,330.06
AAPL,2020-08-05,110.06
GLD,2020-08-05,191.35
JPM,2020-08-05,97.21
MSFT,2020-08-05,212.94
SPY,2020-08-05,332.11
AAPL,2020-08-06,113.9
GLD,2020-08-06,193.89
JPM,2020-08-06,97.24
MSFT,2020-08-06,216.35
SPY,2020-08-06,334.33
AAPL,2020-08-07,111.11
GLD,2020-08-07,190.81
JPM,2020-08-07,99.38
MSFT,2020-08-07,212.48
SPY,2020-08-07,334.57
AAPL,2020-08-10,112.73
GLD,2020-08-10,190.15
JPM,2020-08-10,100.64
MSFT,2020-08-10,208.25
SPY,2020-08-10,335.57
AAPL,2020-08-11,109.38
GLD,2020-08-11,179.94
JPM,2020-08-11,103.82
MSFT,2020-08-11,203.38
SPY,2020-08-11,332.8
AAPL,2020-08-12,113.01
GLD,2020-08-12,179.1
JPM,2020-08-12,102.94
MSFT,2020-08-12,209.19
SPY,2020-08-12,337.44
AAPL,2020-08-13,115.01
GLD,2020-08-13,183.33
JPM,2020-08-13,102.37
MSFT,2020-08-13,208.7
SPY,2020-08-13,336.83
AAPL,2020-08-14,114.91
GLD,2020-08-14,182.54
JPM,2020-08-14,102.41
MSFT,2020-08-14,208.9
SPY,2020-08-14,336.84
AAPL,2020-08-17,114.61
GLD,2020-08-17,186.5
JPM,2020-08-17,99.71
MSFT,2020-08-17,210.28
SPY,2020-08-17,337.91
AAPL,2020-08-18,115.56
GLD,2020-08-18,188.18
JPM,2020-08-18,98.32
MSFT,2020-08-18,211.49
SPY,2020-08-18,338.64
AAPL,2020-08-19,115.71
GLD,2020-08-19,182.24
JPM,2020-08-19,98.55
MSFT,2020-08-19,209.7
SPY,2020-08-19,337.23
AAPL,2020-08-20,118.28
GLD,2020-08-20,183.5
JPM,2020-08-20,97.37
MSFT,2020-08-20,214.58
SPY,2020-08-20,338.28
AAPL,2020-08-21,124.37
GLD,2020-08-21,182.03
JPM,2020-08-21,97.32
MSFT,2020-08-21,213.02
SPY,2020-08-21,339.48
AAPL,2020-08-24,125.86
GLD,2020-08-24,181.0
JPM,2020-08-24,100.06
MSFT,2020-08-24,213.69
SPY,2020-08-24,342.92
AAPL,2020-08-25,124.82
GLD,2020-08-25,181.22
JPM,2020-08-25,100.5
MSFT,2020-08-25,216.47
SPY,2020-08-25,344.12
AAPL,2020-08-26,126.52
GLD,2020-08-26,183.36
JPM,2020-08-26,99.09
MSFT,2020-08-26,221.15
SPY,2020-08-26,347.57
AAPL,2020-08-27,125.01
GLD,2020-08-27,181.24
JPM,2020-08-27,102.35
MSFT,2020-08-27,226.58
SPY,2020-08-27,348.33
AAPL,2020-08-28,124.81
GLD,2020-08-28,184.39
JPM,2020-08-28,102.77
MSFT,2020-08-28,228.91
SPY,2020-08-28,350.58
AAPL,2020-08-31,129.04
GLD,2020-08-31,184.83
JPM,2020-08-31,100.19
MSFT,2020-08-31,225.53
SPY,2020-08-31,349.31
AAPL,2020-09-01,134.18
GLD,2020-09-01,185.05
JPM,2020-09-01,100.14
MSFT,2020-09-01,227.27
SPY,2020-09-01,352.6
AAPL,2020-09-02,131.4
GLD,2020-09-02,182.62
JPM,2020-09-02,101.65
MSFT,2020-09-02,231.65
SPY,2020-09-02,357.7
AAPL,2020-09-03,120.88
GLD,2020-09-03,181.14
JPM,2020-09-03,101.33
MSFT,2020-09-03,217.3
SPY,2020-09-03,345.39
AAPL,2020-09-04,120.96
GLD,2020-09-04,181.64
JPM,2020-09-04,103.52
MSFT,2020-09-04,214.25
SPY,2020-09-04,342.57
AAPL,2020-09-08,112.82
GLD,2020-09-08,181.29
JPM,2020-09-08,99.92
MSFT,2020-09-08,202.66
SPY,2020-09-08,333.21
AAPL,2020-09-09,117.32
GLD,2020-09-09,183.05
JPM,2020-09-09,100.87
MSFT,2020-09-09,211.29
SPY,2020-09-09,339.79
AAPL,2020-09-10,113.49
GLD,2020-09-10,182.46
JPM,2020-09-10,99.83
MSFT,2020-09-10,205.37
SPY,2020-09-10,333.89
AAPL,2020-09-11,112.0
GLD,2020-09-11,182.45
JPM,2020-09-11,101.07
MSFT,2020-09-11,204.03
SPY,2020-09-11,334.06
AAPL,2020-09-14,115.36
GLD,2020-09-14,183.89
JPM,2020-09-14,102.47
MSFT,2020-09-14,205.41
SPY,2020-09-14,338.46
AAPL,2020-09-15,115.54
GLD,2020-09-15,183.45
JPM,2020-09-15,99.28
MSFT,2020-09-15,208.78
SPY,2020-09-15,340.17
AAPL,2020-09-16,112.13
GLD,2020-09-16,183.97
JPM,2020-09-16,99.7
MSFT,2020-09-16,205.05
SPY,2020-09-16,338.82
AAPL,2020-09-17,110.34
GLD,2020-09-17,182.96
JPM,2020-09-17,98.56
MSFT,2020-09-17,202.91
SPY,2020-09-17,335.84
AAPL,2020-09-18,106.84
GLD,2020-09-18,183.2
JPM,2020-09-18,98.35
MSFT,2020-09-18,200.39
SPY,2020-09-18,330.65
AAPL,2020-09-21,110.08
GLD,2020-09-21,179.52
JPM,2020-09-21,95.31
